       Step     Time          Energy          fmax
FIRE2:   11 22:24:41      -74.631214        0.215915
FIRE2:   11 22:24:41      -74.631214        0.215915
FIRE2:   11 22:24:57      -74.631214        0.215915
FIRE2:   12 22:27:17      -74.631248        0.080967
FIRE2:   12 22:27:40      -74.631248        0.080967
FIRE2:   12 22:27:43      -74.631248        0.080967
FIRE2:   12 22:27:46      -74.631248        0.080967
FIRE2:   12 22:27:47      -74.631248        0.080967
FIRE2:   12 22:27:49      -74.631248        0.080967
FIRE2:   12 22:27:51      -74.631248        0.080967
FIRE2:   12 22:27:53      -74.631248        0.080967
FIRE2:   12 22:27:56      -74.631248        0.080967
FIRE2:   12 22:28:12      -74.631248        0.080967
FIRE2:   13 22:28:43      -74.631249        0.086316
FIRE2:   13 22:29:07      -74.631249        0.086316
FIRE2:   13 22:29:11      -74.631249        0.086316
FIRE2:   13 22:29:13      -74.631249        0.086316
FIRE2:   13 22:29:14      -74.631249        0.086316
FIRE2:   13 22:29:16      -74.631249        0.086316
FIRE2:   13 22:29:18      -74.631249        0.086316
FIRE2:   13 22:29:21      -74.631249        0.086316
FIRE2:   13 22:29:26      -74.631249        0.086316
FIRE2:   13 22:29:41      -74.631249        0.086316
FIRE2:   14 22:30:12      -74.631250        0.052865
FIRE2:   14 22:30:36      -74.631250        0.052865
FIRE2:   14 22:30:42      -74.631250        0.052865
FIRE2:   14 22:30:43      -74.631250        0.052865
FIRE2:   14 22:30:44      -74.631250        0.052865
FIRE2:   14 22:30:48      -74.631250        0.052865
FIRE2:   14 22:30:49      -74.631250        0.052865
FIRE2:   14 22:30:52      -74.631250        0.052865
FIRE2:   14 22:30:57      -74.631250        0.052865
FIRE2:   14 22:31:13      -74.631250        0.052865
FIRE2:   15 22:31:41      -74.631252        0.055056
FIRE2:   15 22:32:05      -74.631252        0.055056
FIRE2:   15 22:32:11      -74.631252        0.055056
FIRE2:   15 22:32:12      -74.631252        0.055056
FIRE2:   15 22:32:14      -74.631252        0.055056
FIRE2:   15 22:32:16      -74.631252        0.055056
FIRE2:   15 22:32:21      -74.631252        0.055056
FIRE2:   15 22:32:24      -74.631252        0.055056
FIRE2:   15 22:32:27      -74.631252        0.055056
FIRE2:   15 22:32:46      -74.631252        0.055056
FIRE2:   16 22:33:02      -74.631254        0.069821
FIRE2:   16 22:33:26      -74.631254        0.069821
FIRE2:   16 22:33:33      -74.631254        0.069821
FIRE2:   16 22:33:34      -74.631254        0.069821
FIRE2:   16 22:33:39      -74.631254        0.069821
FIRE2:   16 22:33:40      -74.631254        0.069821
FIRE2:   16 22:33:45      -74.631254        0.069821
FIRE2:   16 22:33:48      -74.631254        0.069821
FIRE2:   16 22:33:51      -74.631254        0.069821
FIRE2:   16 22:34:11      -74.631254        0.069821
FIRE2:   17 22:34:24      -74.631256        0.074820
FIRE2:   17 22:34:48      -74.631256        0.074820
FIRE2:   17 22:34:57      -74.631256        0.074820
FIRE2:   17 22:34:57      -74.631256        0.074820
FIRE2:   17 22:35:02      -74.631256        0.074820
FIRE2:   17 22:35:03      -74.631256        0.074820
FIRE2:   17 22:35:09      -74.631256        0.074820
FIRE2:   17 22:35:12      -74.631256        0.074820
FIRE2:   17 22:35:15      -74.631256        0.074820
FIRE2:   17 22:35:36      -74.631256        0.074820
FIRE2:   18 22:35:56      -74.631260        0.091585
FIRE2:   18 22:36:20      -74.631260        0.091585
FIRE2:   18 22:36:27      -74.631260        0.091585
FIRE2:   18 22:36:28      -74.631260        0.091585
FIRE2:   18 22:36:35      -74.631260        0.091585
FIRE2:   18 22:36:37      -74.631260        0.091585
FIRE2:   18 22:36:42      -74.631260        0.091585
FIRE2:   18 22:36:44      -74.631260        0.091585
FIRE2:   18 22:36:48      -74.631260        0.091585
FIRE2:   18 22:37:10      -74.631260        0.091585
FIRE2:   19 22:37:16      -74.631261        0.059019
FIRE2:   19 22:37:40      -74.631261        0.059019
FIRE2:   19 22:37:47      -74.631261        0.059019
FIRE2:   19 22:37:49      -74.631261        0.059019
FIRE2:   19 22:37:55      -74.631261        0.059019
FIRE2:   19 22:37:59      -74.631261        0.059019
FIRE2:   19 22:38:02      -74.631261        0.059019
FIRE2:   19 22:38:05      -74.631261        0.059019
FIRE2:   19 22:38:10      -74.631261        0.059019
FIRE2:   19 22:38:33      -74.631261        0.059019
FIRE2:   20 22:38:37      -74.631263        0.035242
FIRE2:   20 22:39:01      -74.631263        0.035242
FIRE2:   20 22:39:08      -74.631263        0.035242
FIRE2:   20 22:39:10      -74.631263        0.035242
FIRE2:   20 22:39:16      -74.631263        0.035242
FIRE2:   20 22:39:21      -74.631263        0.035242
FIRE2:   20 22:39:22      -74.631263        0.035242
FIRE2:   20 22:39:27      -74.631263        0.035242
FIRE2:   20 22:39:32      -74.631263        0.035242
FIRE2:   20 22:39:55      -74.631263        0.035242
FIRE2:   21 22:40:00      -74.631264        0.002482
FIRE2:   21 22:40:24      -74.631264        0.002482
FIRE2:   21 22:40:30      -74.631264        0.002482
FIRE2:   21 22:40:32      -74.631264        0.002482
FIRE2:   21 22:40:39      -74.631264        0.002482
FIRE2:   21 22:40:43      -74.631264        0.002482
FIRE2:   21 22:40:46      -74.631264        0.002482
FIRE2:   21 22:40:52      -74.631264        0.002482
FIRE2:   21 22:40:57      -74.631264        0.002482
FIRE2:   21 22:41:19      -74.631264        0.002482
