Kpoints,Energy (eV)
4x4x1,-575.3280746407466
5x5x1,-575.3757094193905
6x6x1,-575.3375108708565
7x7x1,-575.2989808956416
8x8x1,-575.3236307214307
9x9x1,-575.3340028034198
