Kpoints,Energy (eV)
4x4x1,-603.9216605480772
5x5x1,-603.8799435813311
6x6x1,-603.8152582271417
7x7x1,-603.8743849828512
8x8x1,-603.8905423754011
9x9x1,-603.8496070527349
