Kpoints,Energy (eV)
4x4x1,-528.9604168991857
5x5x1,-528.9709355649878
6x6x1,-528.9666666055815
7x7x1,-528.955140645244
8x8x1,-528.952922357881
9x9x1,-528.9618190232658
