Kpoints,Energy (eV)
4x4x1,-2268.5201270749903
5x5x1,-2268.5431165211585
6x6x1,-2268.535112919286
7x7x1,-2268.527872184958
8x8x1,-2268.5371239180936
9x9x1,-2268.527537565204
