Kpoints,Energy (eV)
4x4x1,-593.3651583502788
5x5x1,-593.4480673657629
6x6x1,-593.4651388833844
7x7x1,-593.4805703073816
8x8x1,-593.4606290909064
9x9x1,-593.4527026071727
