Kpoints,Energy (eV)
4x4x1,-4713.430704730845
5x5x1,-4713.383817527738
6x6x1,-4713.409130195707
7x7x1,-4713.327819920114
8x8x1,-4713.389753461469
9x9x1,-4713.3417830630915
