Kpoints,Energy (eV)
4x4x1,-655.0399787486303
5x5x1,-655.0420923101807
6x6x1,-655.0638285592129
7x7x1,-655.0127776318974
8x8x1,-655.0633622922929
9x9x1,-655.0184081517068
