Kpoints,Energy (eV)
4x4x1,-580.4119122085696
5x5x1,-580.4756337951873
6x6x1,-580.425507027299
7x7x1,-580.387149953219
8x8x1,-580.4200100492282
9x9x1,-580.4316092215831
