Material,Functional,Scale_Factor,Lattice_Constant,Energy,Energy_per_atom
TiN,PBE+D4,0.9484741385841035,4.0227129999999995,-73.71378446272574,-9.214223057840718
TiN,PBE+D4,0.9641927864814156,4.089379666666666,-74.61379678035583,-9.326724597544478
TiN,PBE+D4,0.9799114343787279,4.156046333333333,-75.10880404929222,-9.388600506161527
TiN,PBE+D4,0.99563008227604,4.222713,-75.25074231562317,-9.406342789452896
TiN,PBE+D4,1.0113487301733521,4.289379666666666,-75.09354068661924,-9.386692585827404
TiN,PBE+D4,1.0270673780706643,4.3560463333333335,-74.68224693524785,-9.33528086690598
TiN,PBE+D4,1.0427860259679764,4.422713,-74.05432906905662,-9.256791133632078
VN,PBE+D4,0.9454320436952868,3.8998409999999994,-75.22873057494458,-9.403591321868072
VN,PBE+D4,0.961593934119286,3.9665076666666663,-76.23683191858802,-9.529603989823503
VN,PBE+D4,0.9777558245432851,4.033174333333333,-76.79153608668105,-9.598942010835131
VN,PBE+D4,0.9939177149672842,4.099841,-76.9534737652677,-9.619184220658463
VN,PBE+D4,1.0100796053912833,4.166507666666666,-76.77552117140682,-9.596940146425853
VN,PBE+D4,1.0262414958152826,4.233174333333333,-76.32064283272456,-9.54008035409057
VN,PBE+D4,1.0424033862392816,4.299841,-75.63033226442579,-9.453791533053224
ScN,PBE+D4,0.9456263811118557,4.265668,-68.2150343056664,-8.5268792882083
ScN,PBE+D4,0.9604052524963118,4.332334666666666,-68.91710281191843,-8.614637851489803
ScN,PBE+D4,0.9751841238807681,4.3990013333333335,-69.31605457848555,-8.664506822310694
ScN,PBE+D4,0.9899629952652242,4.465668,-69.43980301483427,-8.679975376854284
ScN,PBE+D4,1.0047418666496803,4.532334666666666,-69.33572970935604,-8.666966213669506
ScN,PBE+D4,1.0195207380341367,4.599001333333334,-69.0292765165174,-8.628659564564675
ScN,PBE+D4,1.0342996094185928,4.665668,-68.54779922332875,-8.568474902916094
ZrN,PBE+D4,0.9484743978916421,4.361882,-77.03202547279098,-9.629003184098872
ZrN,PBE+D4,0.9629708071310735,4.428548666666666,-77.89878381135071,-9.737347976418839
ZrN,PBE+D4,0.977467216370505,4.495215333333333,-78.3745337383258,-9.796816717290724
ZrN,PBE+D4,0.9919636256099363,4.561882,-78.51966860350942,-9.814958575438677
ZrN,PBE+D4,1.0064600348493677,4.628548666666666,-78.37389645811345,-9.796737057264181
ZrN,PBE+D4,1.0209564440887993,4.6952153333333335,-77.97169161591205,-9.746461451989006
ZrN,PBE+D4,1.0354528533282306,4.761882,-77.35148613561843,-9.668935766952304
NbN,PBE+D4,0.9430431298124775,4.1819869999999995,-82.99207342880197,-10.374009178600247
NbN,PBE+D4,0.9580765438301438,4.248653666666666,-84.05897221436831,-10.507371526796039
NbN,PBE+D4,0.9731099578478104,4.315320333333333,-84.64959338763809,-10.581199173454761
NbN,PBE+D4,0.9881433718654766,4.381987,-84.83664517467577,-10.60458064683447
NbN,PBE+D4,1.003176785883143,4.448653666666666,-84.66608630758698,-10.583260788448372
NbN,PBE+D4,1.0182101999008095,4.515320333333333,-84.19590601430254,-10.524488251787817
NbN,PBE+D4,1.0332436139184757,4.581987,-83.470626558752,-10.433828319844
