Material,Functional,Scale_Factor,Lattice_Constant,Energy,Energy_per_atom
TiN,PBE+D3,0.9499564856740597,4.029,-73.34722042703514,-9.168402553379392
TiN,PBE+D3,0.9624528107524227,4.082,-74.10926490434896,-9.26365811304362
TiN,PBE+D3,0.9749491358307859,4.135,-74.60400396350107,-9.325500495437634
TiN,PBE+D3,0.9874454609091491,4.188,-74.87608192891724,-9.359510241114656
TiN,PBE+D3,0.9999417859875122,4.241,-74.92404306702048,-9.36550538337756
TiN,PBE+D3,1.0124381110658756,4.2940000000000005,-74.76515970806632,-9.34564496350829
TiN,PBE+D3,1.0249344361442387,4.347,-74.43195937614549,-9.303994922018186
TiN,PBE+D3,1.037430761222602,4.4,-73.94973513886187,-9.243716892357734
TiN,PBE+D3,1.0499270863009649,4.453,-73.36995559902847,-9.171244449878559
VN,PBE+D3,0.9430463062403484,3.89,-74.15351176716722,-9.269188970895902
VN,PBE+D3,0.9565919906519625,3.945875,-75.13246480054435,-9.391558100068044
VN,PBE+D3,0.970137675063577,4.00175,-75.79767676620169,-9.474709595775211
VN,PBE+D3,0.983683359475191,4.057625,-76.14645645325564,-9.518307056656955
VN,PBE+D3,0.9972290438868054,4.1135,-76.24533488042806,-9.530666860053508
VN,PBE+D3,1.0107747282984194,4.169375,-76.06743641362834,-9.508429551703543
VN,PBE+D3,1.0243204127100338,4.22525,-75.74438425154973,-9.468048031443717
VN,PBE+D3,1.037866097121648,4.281124999999999,-75.19941829402786,-9.399927286753483
VN,PBE+D3,1.0514117815332624,4.337,-74.51899052604055,-9.31487381575507
ScN,PBE+D3,0.9470300783159514,4.272,-66.86830785693259,-8.358538482116574
ScN,PBE+D3,0.9595551718142781,4.3285,-67.53397465444968,-8.44174683180621
ScN,PBE+D3,0.9720802653126046,4.385,-67.91145744486423,-8.488932180608028
ScN,PBE+D3,0.9846053588109314,4.4415000000000004,-68.12850439585901,-8.516063049482376
ScN,PBE+D3,0.9971304523092579,4.498,-68.12814329315549,-8.516017911644436
ScN,PBE+D3,1.0096555458075844,4.5545,-68.00490713652287,-8.50061339206536
ScN,PBE+D3,1.0221806393059112,4.611000000000001,-67.7218934408381,-8.465236680104763
ScN,PBE+D3,1.0347057328042377,4.6675,-67.3100514220166,-8.413756427752075
ScN,PBE+D3,1.0472308263025643,4.724,-66.80596533393776,-8.35074566674222
ZrN,PBE+D3,0.9478477181202216,4.359,-76.59101505108373,-9.573876881385466
ZrN,PBE+D3,0.9594539057675413,4.412375,-77.32840500005628,-9.666050625007035
ZrN,PBE+D3,0.9710600934148611,4.46575,-77.83084986371163,-9.728856232963954
ZrN,PBE+D3,0.9826662810621809,4.519125,-78.08396038466199,-9.760495048082749
ZrN,PBE+D3,0.9942724687095006,4.5725,-78.13953206263609,-9.767441507829512
ZrN,PBE+D3,1.0058786563568203,4.625875,-78.01032095377666,-9.751290119222082
ZrN,PBE+D3,1.0174848440041402,4.67925,-77.71565205788704,-9.71445650723588
ZrN,PBE+D3,1.0290910316514599,4.732625,-77.26916176612336,-9.65864522076542
ZrN,PBE+D3,1.0406972192987796,4.786,-76.70526854447992,-9.58815856805999
NbN,PBE+D3,0.9464285794821861,4.197,-82.89658648263978,-10.362073310329972
NbN,PBE+D3,0.9591130225595921,4.25325,-83.76530164070124,-10.470662705087655
NbN,PBE+D3,0.971797465636998,4.3095,-84.28179982934684,-10.535224978668355
NbN,PBE+D3,0.9844819087144041,4.36575,-84.4824748888398,-10.560309361104975
NbN,PBE+D3,0.9971663517918101,4.422000000000001,-84.4465072036822,-10.555813400460275
NbN,PBE+D3,1.009850794869216,4.478249999999999,-84.173159585068,-10.5216449481335
NbN,PBE+D3,1.0225352379466222,4.5345,-83.69745779609552,-10.46218222451194
NbN,PBE+D3,1.035219681024028,4.59075,-83.05235737144075,-10.381544671430094
NbN,PBE+D3,1.047904124101434,4.647,-82.23840638361243,-10.279800797951554
