Kpoints,Energy (eV)
4x4x1,-591.439487924456
5x5x1,-591.5529493663998
6x6x1,-591.5647453030806
7x7x1,-591.5891784948438
8x8x1,-591.5605780177915
9x9x1,-591.5541668326074
