Kpoints,Energy (eV)
4x4x1,-598.7395572366856
5x5x1,-598.692019369668
6x6x1,-598.6348925184056
7x7x1,-598.6981463274332
8x8x1,-598.707808203492
9x9x1,-598.6744066440153
