Kpoints,Energy (eV)
4x4x1,-650.7493409982047
5x5x1,-650.7332721265756
6x6x1,-650.754157578419
7x7x1,-650.6953900510717
8x8x1,-650.7700319651561
9x9x1,-650.7037750054353
