Kpoints,Energy (eV)
4x4x1,-2518.472819513413
5x5x1,-2518.5228181733137
6x6x1,-2518.5474215368567
7x7x1,-2518.5485735565303
8x8x1,-2518.5351806466697
9x9x1,-2518.5381883614305
