Kpoints,Energy (eV)
4x4x1,-530.5163456209534
5x5x1,-530.5181017709091
6x6x1,-530.509075449923
7x7x1,-530.497966740611
8x8x1,-530.5002737912234
9x9x1,-530.5020997825014
