Kpoints,Energy (eV)
4x4x1,-2400.5918424000292
5x5x1,-2400.6428767979965
6x6x1,-2400.6062320368796
7x7x1,-2400.580140554377
8x8x1,-2400.5849661267193
9x9x1,-2400.6080871735453
